Date,Open,High,Low,Close,Adj Close,Volume
2014-09-25,212.009995,212.350006,211.199997,212.300003,153.530991,0
2014-09-26,210.750000,210.800003,210.750000,210.800003,152.446243,100
2014-09-29,210.000000,210.000000,210.000000,210.000000,151.867691,0
2014-09-30,204.949997,209.050003,204.949997,208.149994,150.529785,0
2014-10-01,202.550003,202.850006,199.389999,202.050003,146.118423,100
2014-10-02,200.300003,201.649994,199.000000,201.500000,145.720657,100
2014-10-03,198.899994,199.250000,197.050003,199.250000,144.093506,600
2014-10-06,199.000000,199.000000,197.000000,198.550003,143.587280,0
2014-10-07,199.449997,199.449997,199.149994,199.199997,144.057358,0
2014-10-08,197.089996,197.699997,197.089996,197.449997,142.791763,600
2014-10-09,196.949997,197.449997,195.509995,195.509995,141.388824,100
2014-10-10,191.750000,193.750000,188.850006,192.050003,138.886597,500
2014-10-13,193.350006,193.350006,192.009995,192.009995,138.857666,300
2014-10-14,196.399994,197.720001,196.399994,197.720001,142.987045,600
2014-10-15,192.449997,193.449997,191.800003,193.449997,139.899078,200
2014-10-16,196.210007,199.100006,196.210007,199.100006,143.985031,200
2014-10-17,208.199997,208.199997,208.199997,208.199997,150.565979,0
2014-10-20,201.500000,202.500000,199.899994,201.199997,145.503693,700
2014-10-21,204.429993,204.429993,204.429993,204.429993,147.839584,300
2014-10-22,205.089996,205.089996,204.250000,204.250000,147.709396,100
2014-10-23,204.250000,204.250000,204.250000,204.250000,147.709396,0
2014-10-24,204.250000,204.250000,204.250000,204.250000,147.709396,0
2014-10-27,203.229996,204.149994,203.000000,203.000000,146.805435,100
2014-10-28,206.949997,206.949997,206.949997,206.949997,149.661972,0
2014-10-29,209.000000,209.000000,209.000000,209.000000,151.144501,0
2014-10-30,208.750000,209.949997,208.750000,209.949997,151.831543,100
2014-10-31,212.550003,213.449997,212.550003,213.050003,154.073380,700
2014-11-03,214.000000,214.000000,213.699997,213.699997,154.543457,400
2014-11-04,213.699997,213.979996,213.449997,213.850006,154.651917,100
2014-11-05,216.399994,216.399994,215.699997,215.699997,155.989807,0
2014-11-06,215.699997,215.699997,215.699997,215.699997,155.989807,0
2014-11-07,212.750000,212.899994,212.130005,212.130005,153.408051,100
2014-11-10,215.100006,215.100006,215.100006,215.100006,155.555908,0
2014-11-11,214.449997,214.449997,214.449997,214.449997,155.085846,0
2014-11-12,208.399994,210.199997,208.399994,208.449997,150.746735,0
2014-11-13,210.750000,210.750000,210.750000,210.750000,152.410049,100
